"TOA5","21492","CR1000X","21492","CR1000X.Std.04.02","CPU:Lab2.CR1X","33475","SlowResponse"
"TIMESTAMP","RECORD","AirTC","RH","windSpeed","windDirection","gustWindSpeed","AirTemp"
"TS","RN","Deg C","%","m/s","deg","m/s","degC"
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-01-25 20:51:00",210,-0.2225647,40.85532,0.22,141.8,0.22,-0.6
"2022-01-25 20:52:00",211,-0.3111954,40.73849,0.3,213.6,0.3,-0.8
"2022-01-25 20:53:00",212,-0.2959061,40.88139,0.05,20.2,0.05,-1.1
"2022-01-25 20:54:00",213,-0.3497467,40.86721,0.31,265.6,0.31,-0.7
"2022-01-25 20:55:00",214,-0.3414764,40.8606,0.53,305,0.53,-0.9
"2022-01-25 20:56:00",215,-0.3715668,40.9108,0.16,50.3,0.16,-0.8
"2022-01-25 20:57:00",216,-0.4214325,40.86938,0.14,71.4,0.14,-0.9
"2022-01-25 20:58:00",217,-0.4435272,40.93158,0.13,29.7,0.13,-0.8
"2022-01-25 20:59:00",218,-0.443367,41.12159,0.23,329.4,0.23,-0.8
"2022-01-25 21:00:00",219,-0.4167709,41.0166,0.64,334.9,0.64,-0.8
"2022-01-25 21:01:00",220,-0.4488678,41.02816,0.24,20.5,0.24,-0.7
"2022-01-25 21:02:00",221,-0.4842453,41.02512,0.64,158.3,0.64,-0.6
"2022-01-25 21:03:00",222,-0.4959869,41.02806,0.11,160,0.11,-1.2
"2022-01-25 21:04:00",223,-0.5123291,41.036,0.69,231.5,0.69,-1
"2022-01-25 21:05:00",224,-0.4919586,41.09624,0.34,245,0.34,-1.1
"2022-01-25 21:06:00",225,-0.5695572,41.06729,0.48,273.3,0.48,-1.4
"2022-01-25 21:07:00",226,-0.6329956,41.09412,0.84,207.9,0.84,-1
"2022-01-25 21:08:00",227,-0.6754379,41.10128,0.33,183.7,0.33,-1.1
"2022-01-25 21:09:00",228,-0.6851349,41.10354,0.24,312.1,0.24,-1.4
"2022-01-25 21:10:00",229,-0.6794357,41.11705,0.26,304.8,0.26,-1.3
"2022-01-25 21:11:00",230,-0.7622299,41.06397,0.14,276.9,0.14,-1.8
"2022-01-25 21:12:00",231,-0.8146133,41.09426,0.15,198.1,0.15,-1.3
"2022-01-25 21:13:00",232,-0.8594284,41.12828,0.63,9.3,0.63,-0.7
"2022-01-25 21:14:00",233,-0.8789291,41.11264,0.65,353.4,0.65,-0.7
"2022-01-25 21:15:00",234,-0.8606491,41.20554,0.62,316.3,0.62,-0.8
"2022-01-25 21:16:00",235,-0.8873672,41.18361,0.45,351.5,0.45,-0.6
"2022-01-25 21:17:00",236,-0.9054413,41.19061,0.38,22.3,0.38,-0.8
"2022-01-25 21:18:00",237,-0.9021912,41.19552,0.42,352.8,0.42,-0.5
"2022-01-25 21:19:00",238,-0.8621902,41.22941,0.68,354.4,0.68,-0.7
"2022-01-25 21:20:00",239,-0.8726654,41.24119,0.73,256,0.73,-1.2
"2022-01-25 21:21:00",240,-0.9020233,41.18203,0.07,126,0.07,-1.5
"2022-01-25 21:22:00",241,-0.8840408,41.20762,0.16,33.3,0.16,-1.3
"2022-01-25 21:23:00",242,-0.8994904,41.20493,0.23,33.2,0.23,-1.5
"2022-01-25 21:24:00",243,-0.8827057,41.21517,0.25,32.8,0.25,-1.5
"2022-01-25 21:25:00",244,-0.8600616,41.22393,0.3,91.4,0.3,-1.6
"2022-01-25 21:26:00",245,-0.9408875,41.18647,0.32,50.6,0.32,-1.7
"2022-01-25 21:27:00",246,-0.9978027,41.19184,0.26,11.2,0.26,-1.6
"2022-01-25 21:28:00",247,-1.034042,41.20093,0.15,350.1,0.15,-1.6
"2022-01-25 21:29:00",248,-0.9988708,41.21293,0.35,26.3,0.35,-1.6
"2022-01-25 21:30:00",249,-1.099312,41.21032,0.42,326.6,0.42,-1.6
"2022-01-25 21:31:00",250,-1.178337,41.17971,0.17,93.4,0.17,-1.7
"2022-01-25 21:32:00",251,-1.177559,41.19617,0.33,111.5,0.33,-1.7
"2022-01-25 21:33:00",252,-1.181801,41.37052,0.16,27.7,0.16,-2.1
"2022-01-25 21:34:00",253,-1.222855,41.25758,0.23,216.7,0.23,-1.7
"2022-01-25 21:35:00",254,-1.265701,41.28333,0.08,47.3,0.08,-1.7
"2022-01-25 21:36:00",255,-1.34153,41.25543,0.39,68.4,0.39,-1.9
"2022-01-25 21:37:00",256,-1.396278,41.2925,0.08,61.9,0.08,-1.7
"2022-01-25 21:38:00",257,-1.446083,41.4603,0.15,193,0.15,-1.9
"2022-01-25 21:39:00",258,-1.431053,41.3332,0.29,199.5,0.29,-1.6
"2022-01-25 21:40:00",259,-1.473755,41.3721,0.24,153.1,0.24,-1.8
"2022-01-25 21:41:00",260,-1.542656,41.34445,0.58,244.8,0.58,-1.7
"2022-01-25 21:42:00",261,-1.543083,41.39415,0.22,319.3,0.22,-2
"2022-01-25 21:43:00",262,-1.58448,41.42668,0.78,287.1,0.78,-1.7
"2022-01-25 21:44:00",263,-1.548912,41.48249,0.81,171.2,0.81,-1.6
"2022-01-25 21:45:00",264,-1.584991,41.51558,0.2,145.7,0.2,-1.8
"2022-01-25 21:46:00",265,-1.621262,41.50697,0.21,185.8,0.21,-2
"2022-01-25 21:47:00",266,-1.63588,41.55252,0.63,246.4,0.63,-2
"2022-01-25 21:48:00",267,-1.632118,41.58757,0.28,291.7,0.28,-2
"2022-01-25 21:49:00",268,-1.546791,41.60381,0.68,73.3,0.68,-1.8
"2022-01-25 21:50:00",269,-1.556519,41.59819,0.22,257.1,0.22,-2.1
"2022-01-25 21:51:00",270,-1.542,41.56944,0.16,156,0.16,-1.8
"2022-01-25 21:52:00",271,-1.524994,41.59635,0.35,160.2,0.35,-1.8
"2022-01-25 21:53:00",272,-1.453217,41.71402,0.37,227.9,0.37,-1.7
"2022-01-25 21:54:00",273,-1.467682,41.59878,0.67,234.8,0.67,-1.7
"2022-01-25 21:55:00",274,-1.453362,41.6143,0.78,330.9,0.78,-2
"2022-01-25 21:56:00",275,-1.445564,41.57541,0.52,238.6,0.52,-1.9
"2022-01-25 21:57:00",276,-1.450584,41.58574,0.11,207.3,0.11,-2.2
"2022-01-25 21:58:00",277,-1.408287,41.71801,0.16,338.5,0.16,-2
"2022-01-25 21:59:00",278,-1.46965,41.56644,0.12,315.3,0.12,-2
"2022-01-25 22:00:00",279,-1.460442,41.58286,0.15,269.1,0.15,-2.1
